par_state,par_county,kid_race,par_pctile,shrunk_xkid_delinq90_02020,county_name
1,13,Hispanic,50,.5127,Butler
1,13,Black,50,.7493,Butler
1,13,Hispanic,75,.3683,Butler
1,15,Asian,50,.3259,Calhoun
1,15,AIAN,25,.6384,Calhoun
1,15,White,25,.6032,Calhoun
1,15,White,50,.48505,Calhoun
1,15,Hispanic,-9,.5408000000000001,Calhoun
1,15,Pooled,50,.5285340832015594,Calhoun
1,15,Black,-9,.7582186968838528,Calhoun
1,15,Asian,75,.2611,Calhoun
1,15,White,75,.3669,Calhoun
1,15,AIAN,50,.5474,Calhoun
1,15,Pooled,25,.6600604407713498,Calhoun
1,15,Asian,25,.3907,Calhoun
1,15,AIAN,-9,.5474,Calhoun
1,15,Pooled,75,.3970077256317689,Calhoun
1,15,Hispanic,50,.527,Calhoun
1,15,Hispanic,25,.6098,Calhoun
1,15,White,-9,.48505,Calhoun
1,15,Black,75,.6344,Calhoun
1,15,Asian,-9,.3259,Calhoun
1,15,AIAN,75,.4564,Calhoun
1,15,Hispanic,75,.4442,Calhoun
1,15,Pooled,-9,.5462079375,Calhoun
1,15,Black,50,.71245,Calhoun
1,15,Black,25,.7905,Calhoun
1,17,White,75,.382,Chambers
1,17,Black,75,.6008,Chambers
1,17,Pooled,75,.4100948148148149,Chambers
1,17,Hispanic,75,.455,Chambers
1,17,White,50,.49255,Chambers
1,17,Hispanic,25,.5353,Chambers
1,17,Black,-9,.7611508287292816,Chambers
1,17,Black,50,.68875,Chambers
1,17,White,-9,.4949021276595745,Chambers
1,17,Hispanic,50,.49515,Chambers
1,17,Pooled,50,.5556852966807638,Chambers
1,17,Pooled,-9,.6085648584905661,Chambers
1,17,Pooled,25,.7012757785467127,Chambers
1,17,Hispanic,-9,.4951499999999999,Chambers
1,17,Black,25,.7766999999999999,Chambers
1,17,White,25,.6031,Chambers
1,19,White,50,.5045500000000001,Cherokee
1,19,Hispanic,-9,.6613,Cherokee
1,19,Hispanic,25,.6124000000000001,Cherokee
1,19,Black,50,.6495500000000001,Cherokee
1,19,Pooled,25,.6167127962085308,Cherokee
1,19,Black,25,.7286,Cherokee
1,19,Pooled,-9,.5463210059171598,Cherokee
1,19,White,25,.6117,Cherokee
1,19,Pooled,75,.4293708661417323,Cherokee
1,19,Hispanic,75,.7102000000000001,Cherokee
1,19,White,75,.3974,Cherokee
1,19,White,-9,.5341572368421054,Cherokee
1,19,Hispanic,50,.6613,Cherokee
1,19,Black,-9,.64955,Cherokee
1,19,Black,75,.5705,Cherokee
1,19,Pooled,50,.5230418311751315,Cherokee
1,21,White,75,.3788,Chilton
1,21,Pooled,25,.6611795918367346,Chilton
1,21,Hispanic,50,.5895,Chilton
1,21,White,25,.6273,Chilton
1,21,Black,75,.7243000000000001,Chilton
1,21,Black,25,.8017,Chilton
1,21,Pooled,-9,.5548192192192192,Chilton
1,21,Pooled,75,.4026540145985402,Chilton
1,21,Black,50,.763,Chilton
1,21,Black,-9,.78794,Chilton
1,21,White,-9,.5163625000000001,Chilton
1,21,Pooled,50,.5319168032176373,Chilton
1,21,Hispanic,75,.5048,Chilton
1,21,Hispanic,-9,.5894999999999999,Chilton
1,21,Hispanic,25,.6742,Chilton
1,21,White,50,.50305,Chilton
1,23,Hispanic,75,.4703,Choctaw
1,23,Hispanic,-9,.61585,Choctaw
1,23,White,75,.3695,Choctaw
1,23,Pooled,75,.4336333333333334,Choctaw
1,23,Pooled,-9,.6119025477707007,Choctaw
1,23,Pooled,25,.7053640776699031,Choctaw
1,23,Black,-9,.7816000000000001,Choctaw
1,23,White,50,.4586,Choctaw
1,23,Black,75,.7095,Choctaw
1,23,White,25,.5477,Choctaw
1,23,Black,50,.7507,Choctaw
1,23,Hispanic,50,.61585,Choctaw
1,23,Black,25,.7919,Choctaw
1,23,White,-9,.4528142857142858,Choctaw
1,23,Pooled,50,.5694987055016182,Choctaw
1,23,Hispanic,25,.7614,Choctaw
1,25,White,25,.5620000000000001,Clarke
1,25,Pooled,25,.689992039800995,Clarke
1,25,Pooled,50,.5432189707201697,Clarke
1,25,White,50,.4525,Clarke
1,25,Hispanic,25,.7333,Clarke
1,25,Pooled,75,.3964459016393443,Clarke
1,25,Hispanic,50,.5760999999999999,Clarke
1,25,AIAN,-9,.6137499999999999,Clarke
1,25,Black,25,.7584,Clarke
1,25,AIAN,50,.61375,Clarke
1,25,White,75,.343,Clarke
1,25,Black,50,.7313000000000001,Clarke
1,25,Hispanic,-9,.5760999999999999,Clarke
1,25,Hispanic,75,.4189,Clarke
1,25,Pooled,-9,.5791170278637771,Clarke
1,25,Black,-9,.7525928571428572,Clarke
1,25,Black,75,.7042,Clarke
1,25,White,-9,.4321736526946108,Clarke
1,25,AIAN,25,.6848,Clarke
1,25,AIAN,75,.5427,Clarke
1,27,Pooled,75,.3950823529411764,Clay
1,27,White,-9,.4921768292682926,Clay
1,27,White,75,.3444,Clay
1,27,Hispanic,75,.3736,Clay
1,27,Black,75,.7148,Clay
1,27,White,50,.46805,Clay
1,27,Hispanic,50,.5598,Clay
1,27,Black,25,.7886,Clay
1,27,Pooled,-9,.5333788461538461,Clay
1,27,Pooled,25,.6289495934959349,Clay
1,27,Hispanic,25,.746,Clay
1,27,Black,-9,.7596071428571428,Clay
1,27,White,25,.5917,Clay
1,27,Pooled,50,.5120159732185556,Clay
1,27,Black,50,.7517,Clay
1,27,Hispanic,-9,.5598,Clay
1,29,Black,75,.5279,Cleburne
1,29,White,25,.6173999999999999,Cleburne
1,29,Black,25,.7473,Cleburne
1,29,White,50,.4974,Cleburne
1,29,Pooled,-9,.5305725490196078,Cleburne
1,29,Black,-9,.6375999999999999,Cleburne
1,29,Hispanic,-9,.51015,Cleburne
1,29,Pooled,25,.6203,Cleburne
1,29,Pooled,75,.4023904761904762,Cleburne
1,29,Pooled,50,.5113452380952381,Cleburne
1,29,Hispanic,50,.51015,Cleburne
1,29,White,-9,.5225162790697675,Cleburne
1,29,Hispanic,75,.4893,Cleburne
1,29,White,75,.3774,Cleburne
1,29,Hispanic,25,.531,Cleburne
1,29,Black,50,.6375999999999999,Cleburne
1,31,Asian,-9,.2666,Coffee
1,31,AIAN,-9,.40625,Coffee
1,31,Black,25,.7949000000000001,Coffee
1,31,Hispanic,-9,.4304869565217391,Coffee
1,31,White,25,.5552,Coffee
1,31,Black,50,.7007000000000001,Coffee
1,31,Asian,50,.2666,Coffee
1,31,AIAN,50,.40625,Coffee
1,31,White,-9,.4200571428571429,Coffee
1,31,Asian,25,.2599,Coffee
1,31,Pooled,75,.3403338870431893,Coffee
1,31,Pooled,50,.479202042859343,Coffee
1,31,Pooled,-9,.4794323383084577,Coffee
1,31,Black,75,.6065,Coffee
1,31,Pooled,25,.6180701986754967,Coffee
1,31,Hispanic,50,.4329,Coffee
1,31,White,50,.43695,Coffee
1,31,Asian,75,.2733,Coffee
1,31,Hispanic,75,.3774,Coffee
1,31,AIAN,25,.5075,Coffee
1,31,Hispanic,25,.4884,Coffee
1,31,Black,-9,.7586027522935781,Coffee
1,31,White,75,.3187,Coffee
1,31,AIAN,75,.305,Coffee
1,33,AIAN,-9,.5837999999999999,Colbert
1,33,AIAN,75,.5345,Colbert
1,33,Black,75,.6121,Colbert
1,33,Hispanic,50,.57065,Colbert
1,33,AIAN,50,.5838,Colbert
1,33,Asian,25,.3062,Colbert
1,33,Hispanic,25,.7015,Colbert
1,33,Pooled,25,.6706557926829269,Colbert
1,33,Hispanic,75,.4398,Colbert
1,33,White,50,.4995000000000001,Colbert
1,33,Pooled,50,.5304960458076556,Colbert
1,33,Asian,50,.25865,Colbert
1,33,White,25,.6357,Colbert
1,33,AIAN,25,.6331,Colbert
1,33,Hispanic,-9,.57065,Colbert
1,33,Pooled,75,.3903362989323844,Colbert
1,33,Asian,75,.2111,Colbert
1,33,Pooled,-9,.541312972085386,Colbert
1,33,Black,50,.7012499999999999,Colbert
1,33,Asian,-9,.25865,Colbert
1,33,Black,25,.7904,Colbert
1,33,Black,-9,.7433936363636364,Colbert
1,33,White,-9,.4980663157894738,Colbert
1,33,White,75,.3633,Colbert
1,35,White,75,.4471,Conecuh
1,35,Hispanic,25,.7265,Conecuh
1,35,Black,75,.615,Conecuh
1,35,Black,-9,.779925925925926,Conecuh
1,35,Hispanic,75,.5348000000000001,Conecuh
1,35,Pooled,-9,.6504467836257311,Conecuh
1,35,Pooled,75,.4856,Conecuh
1,35,White,25,.574,Conecuh
1,35,Pooled,25,.7075590551181103,Conecuh
1,35,Black,50,.7065,Conecuh
1,35,Black,25,.798,Conecuh
1,35,Hispanic,-9,.63065,Conecuh
1,35,White,-9,.5244780487804878,Conecuh
1,35,White,50,.5105499999999999,Conecuh
1,35,Hispanic,50,.63065,Conecuh
1,35,Pooled,50,.5965795275590552,Conecuh
1,37,White,75,.4118,Coosa
1,37,White,25,.623,Coosa
1,37,Black,50,.77135,Coosa
1,37,Hispanic,-9,.6346000000000001,Coosa
1,37,Hispanic,25,.7877,Coosa
1,37,Pooled,75,.4881894736842105,Coosa
1,37,Pooled,-9,.6353756302521009,Coosa
1,37,Black,75,.7398,Coosa
1,37,White,50,.5174,Coosa
1,37,Black,-9,.7905878048780487,Coosa
1,37,Pooled,25,.704425925925926,Coosa
1,37,Hispanic,50,.6345999999999999,Coosa
1,37,Hispanic,75,.4815,Coosa
1,37,Black,25,.8028999999999999,Coosa
1,37,Pooled,50,.5963076998050683,Coosa
1,37,White,-9,.5445542857142857,Coosa
1,39,White,25,.5613,Covington
1,39,Hispanic,-9,.3268,Covington
1,39,Asian,75,.2409,Covington
1,39,Asian,-9,.2615,Covington
1,39,Pooled,-9,.5249804347826087,Covington
1,39,Pooled,50,.4767113620071685,Covington
1,39,Pooled,75,.3379377777777777,Covington
1,39,Asian,50,.2615,Covington
1,39,AIAN,-9,.49295,Covington
1,39,Black,25,.8241000000000001,Covington
1,39,Black,75,.7049,Covington
1,39,White,50,.44105,Covington
1,39,White,75,.3208,Covington
1,39,Hispanic,75,.134,Covington
1,39,White,-9,.4748703125,Covington
1,39,AIAN,75,.3977,Covington
1,39,AIAN,50,.49295,Covington
